<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
205;SUAPE 2-unit2;0;0;FALSE;FALSE;6716
206;SUAPE 2-unit3;0;0;FALSE;FALSE;6716
207;SUAPE 2-unit4;0;0;FALSE;FALSE;6716
208;SUAPE 2-unit5;0;0;FALSE;FALSE;6716
209;SUAPE 2-unit6;0;0;FALSE;FALSE;6716
210;SUAPE 2-unit7;0;0;FALSE;FALSE;6716
211;SUAPE 2-unit8;0;0;FALSE;FALSE;6716
212;SUAPE 2-unit9;0;0;FALSE;FALSE;6716
213;SUAPE 2-unit10;0;0;FALSE;FALSE;6716
214;SUAPE 2-unit11;0;0;FALSE;FALSE;6716
215;SUAPE 2-unit12;0;0;FALSE;FALSE;6716
216;SUAPE 2-unit13;0;0;FALSE;FALSE;6716
217;SUAPE 2-unit14;0;0;FALSE;FALSE;6716
218;SUAPE 2-unit15;0;0;FALSE;FALSE;6716
219;SUAPE 2-unit16;0;0;FALSE;FALSE;6716
220;SUAPE 2-unit17;0;0;FALSE;FALSE;6716
221;GLOBAL I-unit1;0;0;FALSE;FALSE;2808
222;GLOBAL I-unit2;0;0;FALSE;FALSE;2808
223;GLOBAL I-unit3;0;0;FALSE;FALSE;2808
224;GLOBAL I-unit4;0;0;FALSE;FALSE;2808
225;GLOBAL II-unit1;0;0;FALSE;FALSE;6716
226;GLOBAL II-unit2;0;0;FALSE;FALSE;2808
227;GLOBAL II-unit3;0;0;FALSE;FALSE;4148
228;GLOBAL II-unit4;0;0;FALSE;FALSE;2808
229;IGARAPE;0;0;FALSE;FALSE;5545
230;CAMACARI MI-unit1;0;0;FALSE;FALSE;5937
231;CAMACARI MI-unit2;0;0;FALSE;FALSE;6384
232;CAMACARI MI-unit3;0;0;FALSE;FALSE;5914
233;CAMACARI MI-unit4;0;0;FALSE;FALSE;5915
234;MAUA 3-unit1;179.73333333333335;1;FALSE;FALSE;10
235;MAUA 3-unit2;179.73333333333335;1;FALSE;FALSE;10
236;MAUA 3-unit3;179.73333333333335;1;FALSE;FALSE;10
237;PERNAMBUCO3-unit1;0;0;FALSE;FALSE;2665
238;PERNAMBUCO3-unit2;0;0;FALSE;FALSE;4030
239;PERNAMBUCO3-unit3;0;0;FALSE;FALSE;2664
240;PERNAMBUCO3-unit4;0;0;FALSE;FALSE;2665
241;PALMEIRAS-unit1;0;0;FALSE;FALSE;2238
242;PALMEIRAS-unit2;0;0;FALSE;FALSE;6716
243;GOIANIA 2-unit1;0;0;FALSE;FALSE;6716
244;GOIANIA 2-unit2;0;0;FALSE;FALSE;6716
245;PETROLINA(L)-unit1;0;0;FALSE;FALSE;6384
246;PETROLINA(L)-unit2;0;0;FALSE;FALSE;6384
247;PETROLINA(L)-unit3;0;0;FALSE;FALSE;6384
248;PETROLINA(L)-unit4;0;0;FALSE;FALSE;6384
249;PETROLINA(L)-unit5;0;0;FALSE;FALSE;6384
250;PETROLINA(L)-unit6;0;0;FALSE;FALSE;6384
251;PETROLINA(L)-unit7;0;0;FALSE;FALSE;6384
252;PETROLINA(L)-unit8;0;0;FALSE;FALSE;6384
253;P.FERRO-unit1;0;0;FALSE;FALSE;4030
254;P.FERRO-unit2;0;0;FALSE;FALSE;4030
255;P.FERRO-unit3;0;0;FALSE;FALSE;4030
256;P.FERRO-unit4;0;0;FALSE;FALSE;4030
257;P.FERRO-unit5;0;0;FALSE;FALSE;4030
258;P.FERRO-unit6;0;0;FALSE;FALSE;4030
259;P.FERRO-unit7;0;0;FALSE;FALSE;4030
260;T.MANAUS-unit1;0;0;FALSE;FALSE;4030
261;T.MANAUS-unit2;0;0;FALSE;FALSE;4030
262;T.MANAUS-unit3;0;0;FALSE;FALSE;4030
263;T.MANAUS-unit4;0;0;FALSE;FALSE;4030
264;T.MANAUS-unit5;0;0;FALSE;FALSE;4030
265;T.MANAUS-unit6;0;0;FALSE;FALSE;4030
266;T.MANAUS-unit7;0;0;FALSE;FALSE;4030
267;T.MANAUS-unit8;0;0;FALSE;FALSE;4030
268;T.MANAUS-unit9;0;0;FALSE;FALSE;4030
269;T.MANAUS-unit10;0;0;FALSE;FALSE;4030
270;T.MANAUS-unit11;0;0;FALSE;FALSE;4030
271;T.MANAUS-unit12;0;0;FALSE;FALSE;4030
272;ATLANTICO-unit1;0;0;FALSE;FALSE;144
273;ATLANTICO-unit2;130.0;1;FALSE;FALSE;144
274;ATLANTICO 2;130.0;1;FALSE;FALSE;144
275;S.CRUZ 34-unit1;0;0;FALSE;FALSE;6716
276;S.CRUZ 34-unit2;0;0;FALSE;FALSE;6716
277;S.CRUZ NV-unit1;175.0;1;FALSE;FALSE;480
278;S.CRUZ NV-unit2;0;0;FALSE;FALSE;401
279;PIRATININGA 12-unit1;0;0;FALSE;FALSE;6716
280;PIRATININGA 12-unit2;0;0;FALSE;FALSE;6716
281;CAMPOS-unit1;0;0;FALSE;FALSE;6716
282;CAMPOS-unit2;0;0;FALSE;FALSE;6716
283;DAIA-unit1;0;0;FALSE;FALSE;6716
284;DAIA-unit2;0;0;FALSE;FALSE;6716
285;DAIA-unit3;0;0;FALSE;FALSE;6716
286;STA VITORIA;28.999999999999996;1;FALSE;FALSE;1128
287;XAVANTES-unit1;0;0;FALSE;FALSE;6386
288;XAVANTES-unit2;0;0;FALSE;FALSE;6386
289;ALTOS;0;0;FALSE;FALSE;6716
290;ARACATI;0;0;FALSE;FALSE;6716
291;BAHIA-unit1;0;0;FALSE;FALSE;2808
292;BAHIA-unit2;0;0;FALSE;FALSE;2808
293;BAHIA-unit3;0;0;FALSE;FALSE;2808
294;BATURITE;0;0;FALSE;FALSE;6716
295;IGUATU;0;0;FALSE;FALSE;6716
296;JUAZEIRO N;0;0;FALSE;FALSE;6716
297;MARAMBAIA;0;0;FALSE;FALSE;6716
298;MURICY-unit1;0;0;FALSE;FALSE;4148
299;MURICY-unit2;0;0;FALSE;FALSE;6384
300;MURICY-unit3;0;0;FALSE;FALSE;4148
301;MURICY-unit4;0;0;FALSE;FALSE;6384
302;MURICY-unit5;0;0;FALSE;FALSE;4148
303;MURICY-unit6;0;0;FALSE;FALSE;4148
304;MURICY-unit7;0;0;FALSE;FALSE;4148
305;MURICY-unit8;0;0;FALSE;FALSE;6384
306;NAZARIA;0;0;FALSE;FALSE;6716
307;PSERGIPE I-gas1;0;0;FALSE;FALSE;648
308;PSERGIPE I-gas2;0;0;FALSE;FALSE;879
309;PSERGIPE I-gas3;0;0;FALSE;FALSE;2352
310;PSERGIPE I-steam;0;0;FALSE;FALSE;902
311;POTIGUAR-unit1;0;0;FALSE;FALSE;4030
312;POTIGUAR-unit2;0;0;FALSE;FALSE;4030
