<BEGIN>;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
49;G49-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6892;11;69;227.2;568;Turbine;0;6892;The group has been changed after network reduction
50;G50-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6892;11;69;227.2;568;Turbine;0;6892;The group has been changed after network reduction
1;G1-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
2;G2-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
3;G3-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
4;G4-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
5;G5-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
6;G6-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
7;G7-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
8;G8-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
9;G9-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
10;G10-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
11;G11-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
12;G12-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
13;G13-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
14;G14-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
15;G15-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
16;G16-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
17;G17-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
18;G18-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
19;G19-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
20;G20-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
21;G21-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
22;G22-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
23;G23-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
24;G24-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
25;G25-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
26;G26-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
27;G27-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
28;G28-JIRAU;4;JIRAU;1;MD;7051;23;75;230;538;Turbine;0;7051;
29;G29-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
30;G30-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
31;G31-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
32;G32-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
33;G33-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
34;G34-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
35;G35-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
36;G36-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
37;G37-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
38;G38-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
39;G39-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
40;G40-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
41;G41-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
42;G42-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
43;G43-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
44;G44-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
45;G45-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
46;G46-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
47;G47-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
48;G48-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
49;G49-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
50;G50-JIRAU;4;JIRAU;1;MD;7061;23;75;230;538;Turbine;0;7061;The group has been changed after network reduction
1;G1-SOBRADINHO;30;SOBRADINHO;1;Group 1;6294;46;175;356.5;713;Turbine;0;6294;
2;G2-SOBRADINHO;30;SOBRADINHO;1;Group 1;6294;46;175;356.5;713;Turbine;0;6294;
3;G3-SOBRADINHO;30;SOBRADINHO;1;Group 1;6294;46;175;356.5;713;Turbine;0;6294;
4;G4-SOBRADINHO;30;SOBRADINHO;1;Group 1;6294;46;175;356.5;713;Turbine;0;6294;
5;G5-SOBRADINHO;30;SOBRADINHO;1;Group 1;6294;46;175;356.5;713;Turbine;0;6294;
6;G6-SOBRADINHO;30;SOBRADINHO;1;Group 1;6294;46;175;356.5;713;Turbine;0;6294;
1;G1-P. PRIMAVERA;14;P. PRIMAVERA;1;Group 1;510;90;110;318;636;Turbine;0;510;
2;G2-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
3;G3-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
4;G4-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
5;G5-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
6;G6-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
7;G7-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
8;G8-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
9;G9-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
10;G10-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
11;G11-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
12;G12-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
13;G13-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
14;G14-P. PRIMAVERA;14;P. PRIMAVERA;2;Group 2;510;30;110;318;636;Turbine;0;510;
1;G1-JUPIA;13;JUPIA;1;Group 1;503;60;110.8;298;596;Turbine;0;503;
2;G2-JUPIA;13;JUPIA;2;Group 2;502;40;110.8;298;596;Turbine;0;502;
3;G3-JUPIA;13;JUPIA;1;Group 1;503;60;110.8;298;596;Turbine;0;503;
4;G4-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
5;G5-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
6;G6-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
7;G7-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
8;G8-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
9;G9-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
10;G10-JUPIA;13;JUPIA;4;Group 4;502;50;110.8;298;596;Turbine;0;502;
11;G11-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
12;G12-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
13;G13-JUPIA;13;JUPIA;4;Group 4;502;50;110.8;298;596;Turbine;0;502;
14;G14-JUPIA;13;JUPIA;3;Group 3;502;25;110.8;298;596;Turbine;0;502;
1;G1-TRES IRMAOS;33;TRES IRMAOS;1;Group 1;520;140;161.5;265;441;Turbine;0;520;
2;G2-TRES IRMAOS;33;TRES IRMAOS;1;Group 1;520;140;161.5;265;441;Turbine;0;520;
3;G3-TRES IRMAOS;33;TRES IRMAOS;1;Group 1;520;140;161.5;265;441;Turbine;0;520;
4;G4-TRES IRMAOS;33;TRES IRMAOS;1;Group 1;520;140;161.5;265;441;Turbine;0;520;
