<BEGIN>;;;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Bus name;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
85;G8-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
86;G9-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
87;G10-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
88;G11-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
89;G12-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
90;G13-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
91;G14-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
92;G15-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
93;G16-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
94;G17-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
95;G18-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
96;G1-STO ANTONIO;5;STO ANTONIO;1;5 blades;7062;name;11;69;227.2;568;Bulbo;Turbine;0;7062;
97;G2-STO ANTONIO;5;STO ANTONIO;1;5 blades;7062;name;11;69;227.2;568;Bulbo;Turbine;0;7062;
98;G3-STO ANTONIO;5;STO ANTONIO;1;5 blades;7062;name;11;69;227.2;568;Bulbo;Turbine;0;7062;
99;G4-STO ANTONIO;5;STO ANTONIO;1;5 blades;7062;name;11;69;227.2;568;Bulbo;Turbine;0;7062;
100;G5-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;name;11;69;227.2;568;Bulbo;Turbine;0;7050;The group has been changed after network reduction
101;G6-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;name;11;69;227.2;568;Bulbo;Turbine;0;7050;The group has been changed after network reduction
102;G7-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;name;11;69;227.2;568;Bulbo;Turbine;0;7050;The group has been changed after network reduction
103;G8-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;name;11;69;227.2;568;Bulbo;Turbine;0;7050;The group has been changed after network reduction
104;G9-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;name;11;69;227.2;568;Bulbo;Turbine;0;7050;The group has been changed after network reduction
105;G10-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;name;11;69;227.2;568;Bulbo;Turbine;0;7050;The group has been changed after network reduction
106;G11-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;name;11;69;227.2;568;Bulbo;Turbine;0;7050;The group has been changed after network reduction
107;G12-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;name;11;69;227.2;568;Bulbo;Turbine;0;7050;The group has been changed after network reduction
108;G13-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;name;21;73;239.2;598;Bulbo;Turbine;0;7062;
109;G14-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;name;21;73;239.2;598;Bulbo;Turbine;0;7062;
110;G15-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;name;21;73;239.2;598;Bulbo;Turbine;0;7062;
111;G16-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;name;21;73;239.2;598;Bulbo;Turbine;0;7062;
112;G17-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;name;21;73;239.2;598;Bulbo;Turbine;0;7062;
113;G18-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;name;21;73;239.2;598;Bulbo;Turbine;0;7062;
114;G19-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;name;21;73;239.2;598;Bulbo;Turbine;0;7062;
115;G20-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;name;21;73;239.2;598;Bulbo;Turbine;0;7062;
116;G21-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;name;11;69;227.2;568;Bulbo;Turbine;0;7064;The group has been changed after network reduction
117;G22-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;name;11;69;227.2;568;Bulbo;Turbine;0;7064;The group has been changed after network reduction
118;G23-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
119;G24-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
120;G25-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
121;G26-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
122;G27-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
123;G28-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
124;G29-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
125;G30-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
126;G31-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;name;11;69;227.2;568;Bulbo;Turbine;0;7064;The group has been changed after network reduction
127;G32-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;name;11;69;227.2;568;Bulbo;Turbine;0;7064;The group has been changed after network reduction
128;G33-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;name;11;69;227.2;568;Bulbo;Turbine;0;7064;The group has been changed after network reduction
129;G34-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;name;11;69;227.2;568;Bulbo;Turbine;0;7064;The group has been changed after network reduction
130;G35-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;name;11;69;227.2;568;Bulbo;Turbine;0;7064;The group has been changed after network reduction
131;G36-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;name;11;69;227.2;568;Bulbo;Turbine;0;7064;The group has been changed after network reduction
132;G37-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
133;G38-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
134;G39-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
135;G40-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
136;G41-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
137;G42-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
138;G43-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
139;G44-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;name;21;73;239.2;598;Bulbo;Turbine;0;7064;The group has been changed after network reduction
140;G45-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6888;name;11;69;227.2;568;Bulbo;Turbine;0;6888;The group has been changed after network reduction
141;G46-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6888;name;11;69;227.2;568;Bulbo;Turbine;0;6888;The group has been changed after network reduction
142;G47-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6888;name;11;69;227.2;568;Bulbo;Turbine;0;6888;The group has been changed after network reduction
143;G48-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6892;name;11;69;227.2;568;Bulbo;Turbine;0;6892;The group has been changed after network reduction
144;G49-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6892;name;11;69;227.2;568;Bulbo;Turbine;0;6892;The group has been changed after network reduction
145;G50-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6892;name;11;69;227.2;568;Bulbo;Turbine;0;6892;The group has been changed after network reduction
146;G1-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
147;G2-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
148;G3-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
149;G4-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
150;G5-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
151;G6-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
152;G7-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
