<BEGIN>;;;;;;
<Buses>;;;;;;
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
324;MSQ-T3-MG013;;13.4;2;SUDESTE/CENTRO-OESTE;1
325;JAGUAR-MG500;;500;2;SUDESTE/CENTRO-OESTE;1
326;JAGUAR-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
327;SOBRAG-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
328;JAGRLI-MG138;;138;2;SUDESTE/CENTRO-OESTE;1
329;MSQ-T2-MG013;;13.4;2;SUDESTE/CENTRO-OESTE;1
330;JAGUAR-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
331;J.FORA-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
332;J.FORAPCH138;;138;3;SUDESTE/CENTRO-OESTE;1
333;JFORA1-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
334;JFORA2-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
335;JFORA3-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
336;LAFAIE-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
337;LAFAIE-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
338;LAFAI1-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
339;LAFAI2-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
340;MIRAND-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
341;MCLARO-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
342;MCLAR2-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
343;IGARAPUHE002;;1.3;3;SUDESTE/CENTRO-OESTE;1
344;MESQUI-MG500;;500;2;SUDESTE/CENTRO-OESTE;1
345;MESQUI-MG230;;230;2;SUDESTE/CENTRO-OESTE;1
346;MESQUISIN001;;1.2;2;SUDESTE/CENTRO-OESTE;1
347;VALAD1-MG000;;1.1;3;SUDESTE/CENTRO-OESTE;1
