<BEGIN>;;;;;;;;;;;;;;;;;;;
<Hydro plants>;;;;;;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
127;14 DE JULHO;50.47;55.18;0;0;TRUE;103;104;17956;Taquari-Antas;No;17956;0;0;0;0;0;0;
128;SALTO PILÃO;0.1189;0.1884;0;0;TRUE;318;319;7612;Itajaí;Yes;7612;0;0;0;0;0;0;
129;CAPIVARI-CACHOEIRA;23;179;0;0;TRUE;822;845;1014;Capivari;No;1014;0;0;0;0;0;0;
130;ROSAL;10;17;0;0;TRUE;555;555;1000;Itabapoana;No;1000;0;0;0;0;0;0;
131;GUILMAN-AMORIM;0.4547;2.7281;SÁ CARVALHO;4;TRUE;495;495;1500;Piracicaba;No;1500;0;0;0;0;0;0;
132;SÁ CARVALHO;1.73;1.8;BAGUARI;36;TRUE;369.5;369.5;1840;Piracicaba;Yes;1840;0;0;0;0;0;0;
133;CANDONGA;19.4;54.44;BAGUARI;48;TRUE;327.5;327.5;3000;Piracicaba;Yes;3000;0;0;0;0;0;0;
134;BAGUARI;31.42;38.07;AIMORÉS;12;TRUE;184.5;185;8000;Piracicaba;Yes;8000;0;0;0;0;0;0;
135;AIMORÉS;173.38;184.65;MASCARENHAS;1;TRUE;89;90;12000;Piracicaba;No;12000;0;0;0;0;0;0;
136;MASCARENHAS;17.812;24.43;0;0;TRUE;60.7;60.7;14500;Piracicaba;Yes;14500;0;0;0;0;0;0;
137;SALTO GRANDE;78;78;PORTO ESTRELA;2;TRUE;356;356;1500;Piracicaba;No;1500;0;0;0;0;0;0;
138;PORTO ESTRELA;55.92;89.04;BAGUARI;24;TRUE;246;255;4000;Piracicaba;Yes;4000;0;0;0;0;0;0;
139;SANTA CLARA - MG;146;146;0;0;TRUE;86;86;15000;Mucuri;No;15000;0;0;0;0;0;0;
140;IRAPÉ;2271.15;5963.92;ITAPEBI;120;FALSE;470.8;510;7503;Jequitinhonha;Yes;7503;0;0;0;0;0;0;
141;ITAPEBI;1445.27;1633.56;0;0;TRUE;110;110;20915;Jequitinhonha;Yes;20915;0;0;0;0;0;0;
142;PEDRA DO CAVALO;106;114.5;0;0;TRUE;106;114.5;12000;Paraguaçu;Yes;12000;0;0;0;0;0;0;
